doc_id,corpus,author,segment_id,marker,marker_group,marker_category,count,word_count,prevalence
Men of Flesh and Blood_5.8.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,612,0
men or machines_12.24.1916,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1155,0
Neither Fascism nor Liberalism_ Sovietism!_10.7.1924,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1156,0
Newspapers and the workers_12.22.1916,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,706,0
On the Operations of the Central Committee of the Party_12.20.1925,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1164,0
one year of history_3.16.1918,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,917,0
red ink_4.4.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,630,0
revolutionaries and elections_11.15.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,953,0
Speech to the Italian parliament_5.16.1925,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,3493,0
split or disorder_12.11-18.1920,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,931,0
Sterile and Negative Criticism_9.30.1925,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1056,0
The Agrarian Struggle in Italy_8.31.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,836,0
the ape people_1.2.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,991,0
The Arditi del Popolo_7.15.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1060,0
The Communists and the Elections_4.12.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1052,0
the conquest of the state_7.12.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,2212,0
the development of the revolution_9.13.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1469,0
The events of 2-3 December (1919)_12.6-13.19,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1841,0
The Genoa Conference and Italy (19 April 1922)_4.19.1922,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,673,0
The grimace of Gwynplaine_8.30.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,871,0
The parties and the Masses_9.25.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1382,0
the price of history_6.7.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1628,0
the problem of power_11.29.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1800,0
The Revolution against ‘Capital’_12.24.1917,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1311,0
The tactic of failure_9.22.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1112,0
The Turin factory council movement_3.14.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,2990,0
The two fascisms_8.25.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,879,0
The Vatican_3.12.1924,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1493,0
To the section commissars of the FIAT-Brevetti workshops_9.13.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1448,0
unions and councils_10.11.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1864,0
unions and the dictatorship_10.25.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1634,0
war is war_1.31.1921,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1201,0
workers' democracy_6.21.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1360,0
workers and peasants_1.3.1920,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,878,0
workers and peasants_8.2.1919,longitudinal,gramsci,1,harm,dyadic_harm,harm_justification,0,1820,0
Harris_10.23.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,384,0
Harris_11.1.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,229,0
Harris_11.12.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,285,0
Harris_11.17.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,913,0
Harris_11.22.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,359,0
Harris_11.8.1998,longitudinal,harris,1,harm,dyadic_harm,harm_justification,0,227,0
